Movie Hebrew name,Movie name,Extra name,Year,Movie type,Grade,Lead actor\ess,Language
ג'ו קיד,Joe Kidd,,1972,Western,Less,Clint Eastwood,English
,Trinity Is Still My Name,Continuavano a chiamarlo Trinità,1972,Western,OK,Terence Hill,English
,The Mechanic,,1972,Action,OK,Charles Bronson,English
כל מה שרצית לדעת על מין (ולא העזת לשאול),Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,,1972,Comedy,OK,Woody Allen,English
"מה חדש, דוק?","What's Up, Doc?",,1972,Comedy,OK,Barbra Streisand,English
שביל הזעם,Badlands,,1973,Drama,Less,Martin Sheen,English
,Mean Streets,,1973,Drama,Less,Harvey Keitel,English
סרפיקו,Serpico,,1973,Drama,Good,Al Pacino,English
חכם גמליאל,חכם גמליאל,,1973,Drama,OK,Yossi Banai,English
הפרפר,Papillon,,1973,Adventure,Good,Steve McQueen,English
,The Three Musketeers,,1973,Adventure,Less,Richard Chamberlain,English
,Battle for the Planet of the Apes,,1973,SF,OK,,English
עולם המערב,Westworld,,1973,SF,OK,Yul Brynner,English
ישו כוכב עליון,Jesus Christ Superstar,,1973,Musical,OK,,English
שמש ירוקה,Soylent Green,,1973,Thriller,OK,Charlton Heston,English
נשיא על הכוונת,The Day of the Jackal,,1973,Thriller,OK,,English
,Sutjeska,The Battle Of Sutjeska,1973,War,OK,Richard Burton,English
עיר ושמה גיהנום,High Plains Drifter,,1973,Western,Less,Clint Eastwood,English
,The Man Who Loved Cat Dancing,,1973,Western,Less,Burt Reynolds,English
רובין הוד,Robin Hood,,1973,Animated,Very good,,English
007 - חיה ותן למות,Live and Let Die,,1973,Action,OK,Roger Moore,English
שובו של הארי המזוהם,Magnum Force,Dirty Harry 2,1973,Action,Good,Clint Eastwood,English
העוקץ,The Sting,,1973,Comedy,Great,Paul Newman,English
מתנה משמיים,מתנה משמיים,,1973,Comedy,OK,,Hebrew
כך היינו,The Way We Were,,1973,Comedy,OK,Barbra Streisand,English
אליס לא גרה כאן יותר,Alice Doesn't Live Here Anymore,,1974,Drama,Less,Harvey Keitel,English
הסנדק 2,The Godfather: Part II,,1974,Drama,Great,Al Pacino,English
גטסבי הגדול,The Great Gatsby,,1974,Drama,Good,Robert Redford,English
עיניים גדולות,עיניים גדולות,,1974,Israeli,OK,Arik Einstein,Hebrew
קזבלן,קזבלן,,1974,Israeli,Good,Yehoram Gaon,Hebrew
זרדוז,Zardoz,,1974,SF,OK,Sean Connery,English
צ'יינה טאון,Chinatown,,1974,Thriller,OK,Jack Nicholson,English
רצח באוריינט אקספרס,Murder on the Orient Express,,1974,Thriller,OK,Sean Connery,English
השיחה,The Conversation,,1974,Thriller,Less,Gene Hackman,English
תיק אודסה,The Odessa File,,1974,Thriller,OK,Jon Voight,English
,The Terminal Man,,1974,Thriller,Less,,English
המגדל הלוהט,The Towering Inferno,,1974,Thriller,OK,Steve McQueen,English
,The Yakuza,,1974,Thriller,Less,Robert Mitchum,English
הנסיך הקטן,The Little Prince,,1974,Family,OK,,English
משאלת מוות,Death Wish,,1974,Action,OK,Charles Bronson,English
,Earthquake,,1974,Action,OK,Ava Gardner,English
007 - האיש בעל אקדח הזהב,The Man with the Golden Gun,,1974,Action,Good,Roger Moore,English
שוגרלנד אקספרס,The Sugarland Express,,1974,Action,OK,Goldie Hawn,English
כותרת ראשית,The Front Page,,1974,Comedy,OK,Walter Matthau,English
,The Return of the Tall Blond Man,Le retour du grand blond,1974,Comedy,Pass,,French
פרנקנשטיין הצעיר,Young Frankenstein,,1974,Comedy,Good,Gene Wilder,English
קן הקוקיה,One Flew Over the Cuckoo's Nest,,1975,Drama,OK,Jack Nicholson,English
,The Count of Monte-Cristo,,1975,Adventure,OK,Richard Chamberlain,English
האיש שרצה להיות מלך,The Man Who Would Be King,,1975,Adventure,Less,Sean Connery,English
גבעת חלפון אינה עונה,גבעת חלפון אינה עונה,,1975,Israeli,Very good,,English
חגיגה בסנוקר,חגיגה בסנוקר,Festival at the Poolroom,1975,Israeli,OK,Ze'ev Revach,Hebrew
מופע הקולנוע של רוקי,The Rocky Horror Picture Show,,1975,Musical,Good,Tim Curry,English
אחר צהריים של פורענות,Dog Day Afternoon,,1975,Thriller,Good,Al Pacino,English
מלתעות,Jaws,,1975,Thriller,Good,Richard Dreyfuss,English
,The Stepford Wives,,1975,Thriller,OK,,English
